Run,X-Net,Y-Net
1,3.25,-1.5625
2,-14.25,12
3,-10.0625,-7.25
4,1.4375,-6.75
5,-0.3125,-5.1875
6,2.75,-6.375
7,4.875,-3.5625
8,1.5625,-4.5625
9,-13.8125,-6.25
10,6.3125,-7.03125
11,-0.4375,-3.3125
12,3.5625,-7.71875
13,2.6875,-5.375
14,3.53125,-10.5
15,5.8125,-2.9375
16,3.53125,-11.6875
17,3.21875,-8.625
18,6,-1.8125
19,-12.6875,-9
20,8.84375,-9.9375
21,5.5,-5
22,8.8125,-5.8125
23,2.8125,0.25
24,-2.625,-10
25,-1.25,-11.46875
26,8.3125,-10.59375
27,-3.46875,-5.6875
28,-2.390625,-0.875
29,3.4375,2.46875
30,1.09375,3.34375
31,-10.5625,-22.5625
32,-3.9375,-11.375
33,-14.0625,-8.9375
34,7.03125,-9.9375
35,-17.1875,-6
36,5.09375,-8.6875
37,-15.03125,-9
38,-1.375,-2.375
39,-4.1875,1.0625
40,5.9375,-13.1875
41.28.0625,12.5625
42,41.46875,-4.5625
43,23.5625,7.5
44,21.25,10.5
45,24.5625,0
46,24.875,7.125
47,37.4375,5
48,35.75,2.125
49,26.25,1.1875
50,24.75,4.875
