Run,Timestamp_Init,Timestamp_Final,X-Net,Y-Net,Z-Net
1,11152,45952,0.7386153091210872,0.4412202867679298,0.009297127835452602
2,155496,190296,0.9029299298999832,0.43245761003345246,0.005396290682256201
3,434045,468845,-4.862070691771805,-3.923774291295558,0.006933601573109698
4,532377,567177,0.9174319244921207,2.3326463140547276,0.008592173457145701
5,658961,693761,-0.4546266044490039,0.6948485653847456,0.00518065597862
6,759960,794760,-5.2835807064548135,3.745437323028454,0.006459645926952301
7,880183,914983,-0.5553713728440927,-0.17617401393363258,0.0120846666395664
8,1013064,1047864,0.7793736471794546,0.2135681065265089,0.006550122052431101
9,1131702,1166502,-2.5612274662125856,1.7247586848170613,0.012454527430236402
10,15795,50595,-0.0464427946135401,0.0978571466403082,0.011438157409429599
