timestamp,mx,my,mz,multi_ranger_x_drift,multi_ranger_y_drift,multi_ranger_z_drift,multi_ranger_x_drift_pos_exceeded,multi_ranger_x_drift_pos_trigger,multi_ranger_x_drift_neg_exceeded,multi_ranger_x_drift_neg_trigger,multi_ranger_y_drift_pos_exceeded,multi_ranger_y_drift_pos_trigger,multi_ranger_y_drift_neg_exceeded,multi_ranger_y_drift_neg_trigger,multi_ranger_z_drift_pos_exceeded,multi_ranger_z_drift_pos_trigger,multi_ranger_z_drift_neg_exceeded,multi_ranger_z_drift_neg_trigger,right,front,up,progressing_2s,min_closure_2s,progressing_5s,min_closure_5s,reached_waypoint,trigger_15,trigger_16,trigger_17
37605,-0.08,0.16,0.15,-0.08,0.16,0.0,0,,0,,0,,0,,0,,0,,32.766,3.053,3.089,,,,,,,,
37905,-0.09,0.15,0.18,-0.09,0.15,-2.7755575615628914e-17,0,,0,,0,,0,,0,,0,,2.865,3.063,3.064,,,,,,,,
38005,-0.09,0.15,0.19,-0.09,0.15,0.0,0,,0,,0,,0,,0,,0,,32.766,3.056,3.055,,,,,,,,
38105,-0.1,0.15,0.2,-0.1,0.15,-2.7755575615628914e-17,0,,0,,0,,0,,0,,0,,2.88,3.058,3.036,,,,,,,,
38205,-0.1,0.16,0.23,-0.1,0.16,-2.7755575615628914e-17,0,,0,,0,,0,,0,,0,,2.883,3.052,3.007,,,,,,,,
38305,-0.1,0.15,0.26,-0.1,0.15,0.0,0,,0,,0,,0,,0,,0,,2.88,3.055,2.984,,,,,,,,
38405,-0.1,0.15,0.28,-0.1,0.15,0.0,0,,0,,0,,0,,0,,0,,32.766,3.059,2.958,,,,,,,,
38505,-0.1,0.16,0.31,-0.1,0.16,0.0,0,,0,,0,,0,,0,,0,,2.9,3.052,2.929,,,,,,,,
38605,-0.1,0.15,0.35,-0.1,0.15,5.551115123125783e-17,0,,0,,0,,0,,0,,0,,2.898,3.058,2.894,,,,,,,,
38705,-0.1,0.15,0.38,-0.1,0.15,0.0,0,,0,,0,,0,,0,,0,,32.766,3.055,2.863,,,,,,,,
