timestamp,mx,my,mz,multi_ranger_x_drift,multi_ranger_y_drift,multi_ranger_z_drift,multi_ranger_x_drift_pos_exceeded,multi_ranger_x_drift_pos_trigger,multi_ranger_x_drift_neg_exceeded,multi_ranger_x_drift_neg_trigger,multi_ranger_y_drift_pos_exceeded,multi_ranger_y_drift_pos_trigger,multi_ranger_y_drift_neg_exceeded,multi_ranger_y_drift_neg_trigger,multi_ranger_z_drift_pos_exceeded,multi_ranger_z_drift_pos_trigger,multi_ranger_z_drift_neg_exceeded,multi_ranger_z_drift_neg_trigger
85946,-0.04,0.13,0.12,-0.04,0.13,0.0,0,,0,,0,,0,,0,,0,
86046,-0.02,0.13,0.14,-0.02,0.13,0.0,0,,0,,0,,0,,0,,0,
86146,-0.03,0.12,0.15,-0.03,0.12,0.0,0,,0,,0,,0,,0,,0,
86246,-0.03,0.14,0.17,-0.03,0.14,0.0,0,,0,,0,,0,,0,,0,
86346,-0.04,0.13,0.16,-0.04,0.13,2.7755575615628914e-17,0,,0,,0,,0,,0,,0,
86546,-0.04,0.13,0.18,-0.04,0.13,-2.7755575615628914e-17,0,,0,,0,,0,,0,,0,
86646,-0.04,0.13,0.2,-0.04,0.13,-2.7755575615628914e-17,0,,0,,0,,0,,0,,0,
86746,-0.03,0.14,0.23,-0.03,0.14,-2.7755575615628914e-17,0,,0,,0,,0,,0,,0,
86946,-0.02,0.14,0.3,-0.02,0.14,0.0,0,,0,,0,,0,,0,,0,
87046,-0.02,0.13,0.33,-0.02,0.13,0.0,0,,0,,0,,0,,0,,0,
87146,-0.02,0.13,0.37,-0.02,0.13,0.0,0,,0,,0,,0,,0,,0,
87246,-0.01,0.12,0.4,-0.01,0.12,-5.551115123125783e-17,0,,0,,0,,0,,0,,0,
87346,-0.02,0.13,0.43,-0.02,0.13,-5.551115123125783e-17,0,,0,,0,,0,,0,,0,
87446,-0.02,0.14,0.46,-0.02,0.14,-5.551115123125783e-17,0,,0,,0,,0,,0,,0,
87546,-0.02,0.13,0.49,-0.02,0.13,0.0,0,,0,,0,,0,,0,,0,
87646,-0.03,0.14,0.51,-0.03,0.14,0.0,0,,0,,0,,0,,0,,0,
87746,-0.03,0.15,0.54,-0.03,0.15,0.0,0,,0,,0,,0,,0,,0,
87846,-0.04,0.15,0.57,-0.04,0.15,-1.1102230246251565e-16,0,,0,,0,,0,,0,,0,
87946,-0.05,0.15,0.6,-0.05,0.15,0.0,0,,0,,0,,0,,0,,0,
88046,-0.06,0.17,0.63,-0.06,0.17,-1.1102230246251565e-16,0,,0,,0,,0,,0,,0,
88146,-0.06,0.17,0.66,-0.06,0.17,0.0,0,,0,,0,,0,,0,,0,
88246,-0.07,0.17,0.68,-0.07,0.17,0.0,0,,0,,0,,0,,0,,0,
88346,-0.06,0.19,0.7,-0.06,0.19,1.1102230246251565e-16,0,,0,,0,,0,,0,,0,
88446,-0.06,0.19,0.72,-0.06,0.19,-1.1102230246251565e-16,0,,0,,0,,0,,0,,0,
88546,-0.06,0.19,0.76,-0.06,0.19,0.0,0,,0,,0,,0,,0,,0,
88646,-0.06,0.2,0.77,-0.06,0.2,0.0,0,,0,,0,,0,,0,,0,
88746,-0.06,0.22,0.79,-0.06,0.22,0.0,0,,0,,1,Y drift forward (Multi-Ranger) > 0.2m — correcting back!,0,,0,,0,
