event,id,race,score,time
#,#,0,#,0.0
#,#,1,#,0.0
#,#,2,#,0.0
#,#,3,#,0.0
#,#,4,#,0.0
#,#,5,#,0.0
0,6957,0,9,129601.0
0,4641,2,4,129602.0
0,3863,2,2,129603.0
0,2566,0,9,129604.0
0,2352,0,1,129605.0
0,2245,2,8,129606.0
0,806,2,2,129607.0
0,317,0,9,129608.0
0,210,0,7,129609.0
0,8209,1,8,216000.0
0,7750,0,9,216001.0
0,7317,0,7,216002.0
0,6824,3,3,216003.0
0,6058,5,1,216004.0
0,4787,0,2,216005.0
0,4525,3,5,216006.0
0,4408,0,1,216007.0
0,4407,2,1,216008.0
0,3924,0,6,216009.0
0,3480,0,2,216010.0
0,3326,0,10,216011.0
0,3182,0,5,216012.0
0,2383,5,1,216013.0
0,11726,0,9,302400.0
0,10428,2,4,302401.0
0,8845,5,4,302402.0
0,8636,0,5,302403.0
0,7671,3,5,302404.0
0,7156,0,3,302405.0
0,6924,0,9,302406.0
0,6760,0,7,302407.0
0,6338,0,5,302408.0
0,4595,0,7,302409.0
0,4491,0,4,302410.0
0,2982,0,9,302411.0
0,2499,2,7,302412.0
0,1499,0,10,302413.0
0,1163,0,6,302414.0
0,611,0,3,302415.0
0,10833,0,5,388800.0
0,9258,2,1,388801.0
0,6426,5,8,388802.0
0,6361,0,7,388803.0
0,4715,0,8,388804.0
0,4189,0,10,388805.0
0,4052,0,5,388806.0
0,2247,0,10,388807.0
0,1147,0,3,388808.0
0,1128,2,5,388809.0
0,1110,0,10,388810.0
0,10617,2,1,475200.0
0,10307,0,6,475201.0
0,9545,0,4,475202.0
0,9377,3,1,475203.0
0,7636,0,2,475204.0
0,3840,0,10,475205.0
0,3027,0,1,475206.0
0,1925,5,1,475207.0
0,10343,5,1,561600.0
0,10298,0,5,561601.0
0,8311,2,6,561602.0
0,7807,2,8,561603.0
0,6697,2,5,561604.0
0,6247,0,7,561605.0
0,4943,0,9,561606.0
0,3799,0,2,561607.0
0,656,0,6,561608.0
0,329,5,1,561609.0
0,9429,3,3,648000.0
0,9242,2,1,648001.0
0,4660,0,8,648002.0
0,2857,0,9,648003.0
0,1697,5,5,648004.0
0,1096,2,1,648005.0
0,11653,0,4,734400.0
0,9159,2,2,734401.0
0,9076,0,2,734402.0
0,8663,5,4,734403.0
0,8385,3,7,734404.0
0,8258,0,7,734405.0
0,7455,0,7,734406.0
0,6685,0,5,734407.0
0,6205,0,1,734408.0
0,5534,3,2,734409.0
0,4863,0,8,734410.0
0,4511,0,1,734411.0
0,2914,0,9,734412.0
0,1303,0,3,734413.0
0,11225,2,5,820800.0
0,10456,0,7,820801.0
0,8776,2,10,820802.0
0,6932,2,7,820803.0
0,6919,0,3,820804.0
0,6450,0,5,820805.0
0,5713,5,2,820806.0
0,5414,0,9,820807.0
0,5120,0,1,820808.0
0,4178,2,3,820809.0
0,4164,2,4,820810.0
0,3653,0,2,820811.0
0,3035,2,4,820812.0
0,2809,0,3,820813.0
0,2655,0,3,820814.0
0,1088,2,1,820815.0
0,638,0,6,820816.0
0,11396,2,7,907200.0
0,10969,0,3,907201.0
0,10709,2,1,907202.0
0,10220,0,3,907203.0
0,8682,1,1,907204.0
1,8385,#,#,907205.0
0,7288,0,6,907206.0
0,7114,0,3,907207.0
0,6000,0,5,907208.0
0,5833,2,1,907209.0
0,5179,0,8,907210.0
0,3812,0,5,907211.0
0,3419,0,5,907212.0
0,1217,0,2,907213.0
0,496,2,4,907214.0
0,407,0,10,907215.0
0,228,0,9,907216.0
0,11491,2,8,993600.0
0,11340,0,9,993601.0
0,10188,2,4,993602.0
0,9170,2,1,993603.0
0,9077,2,7,993604.0
0,9018,0,8,993605.0
0,7821,2,8,993606.0
0,6492,2,2,993607.0
0,6095,0,10,993608.0
0,5601,2,1,993609.0
0,5479,0,9,993610.0
0,4229,2,8,993611.0
0,3299,0,2,993612.0
0,2930,0,10,993613.0
0,2776,2,6,993614.0
0,2256,2,3,993615.0
0,1608,2,6,993616.0
0,1141,0,9,993617.0
0,9931,0,1,1080000.0
0,8982,2,5,1080001.0
0,8018,2,7,1080002.0
0,7573,0,9,1080003.0
0,7559,2,3,1080004.0
0,6915,0,7,1080005.0
0,5075,0,10,1080006.0
0,4219,0,1,1080007.0
0,4061,2,1,1080008.0
0,3860,2,1,1080009.0
0,3312,2,1,1080010.0
0,2538,2,1,1080011.0
0,901,0,2,1080012.0
0,330,0,1,1080013.0
0,101,3,1,1080014.0
0,9552,3,7,1166400.0
0,8630,0,8,1166401.0
0,8288,0,5,1166402.0
0,7760,0,10,1166403.0
0,6818,2,4,1166404.0
0,6189,2,2,1166405.0
0,5676,2,7,1166406.0
0,5128,3,2,1166407.0
0,4935,0,10,1166408.0
0,4443,2,5,1166409.0
0,1805,0,5,1166410.0
0,1093,2,2,1166411.0
0,11529,0,7,1252800.0
0,9968,0,6,1252801.0
0,8945,0,7,1252802.0
0,8754,2,5,1252803.0
0,7987,2,9,1252804.0
0,7788,0,6,1252805.0
0,7526,2,3,1252806.0
0,7003,0,2,1252807.0
0,6571,0,8,1252808.0
0,6379,2,6,1252809.0
0,5264,5,7,1252810.0
0,5160,0,7,1252811.0
0,4411,2,3,1252812.0
0,3157,2,4,1252813.0
0,2870,0,7,1252814.0
0,2326,0,8,1252815.0
0,1879,0,9,1252816.0
0,1584,5,2,1252817.0
0,978,0,2,1252818.0
1,407,#,#,1252819.0
0,11694,2,1,1339200.0
0,10379,0,7,1339201.0
0,9952,2,1,1339202.0
0,9268,2,2,1339203.0
0,8917,0,6,1339204.0
0,8119,0,5,1339205.0
0,7061,2,5,1339206.0
0,6939,2,1,1339207.0
0,6382,0,2,1339208.0
0,6137,2,1,1339209.0
0,5132,0,7,1339210.0
0,3242,0,7,1339211.0
0,3101,0,2,1339212.0
0,2516,0,3,1339213.0
0,2032,0,6,1339214.0
1,638,#,#,1339215.0
0,361,2,1,1339216.0
0,169,2,4,1339217.0
0,11141,2,8,1425600.0
0,10087,2,2,1425601.0
0,7689,0,8,1425602.0
0,6811,0,9,1425603.0
0,6250,0,9,1425604.0
0,5773,0,4,1425605.0
0,3854,0,3,1425606.0
0,3622,0,10,1425607.0
0,3022,0,5,1425608.0
0,2630,0,6,1425609.0
0,2408,2,1,1425610.0
0,1438,2,6,1425611.0
0,215,0,2,1425612.0
0,11659,3,1,1512000.0
0,11583,2,1,1512001.0
0,10557,0,4,1512002.0
0,10552,2,1,1512003.0
0,9448,2,5,1512004.0
0,9235,2,1,1512005.0
0,8500,0,7,1512006.0
0,8143,5,1,1512007.0
0,7741,0,7,1512008.0
0,7256,0,3,1512009.0
0,6650,0,8,1512010.0
0,3116,0,10,1512011.0
0,3051,0,1,1512012.0
0,2673,0,2,1512013.0
0,2616,3,5,1512014.0
0,916,0,2,1512015.0
