a,b,time
96,-8,0.000
25,4,2.583
85,-11,4.482
#,25,5.559
-26,-18,7.851
24,25,9.100
55,-17,10.544
-4,85,13.252
-22,#,15.770
-40,#,18.728
-14,-16,21.129
#,#,23.694
-47,86,26.644
53,71,27.857
31,47,29.103
35,#,30.681
-38,#,32.194
30,-28,33.300
76,16,35.093
44,-30,37.107
73,25,39.246
-50,47,41.213
-24,28,43.308
#,6,45.524
-36,#,46.660
76,16,47.911
5,74,48.933
6,89,50.311
89,84,52.934
84,95,55.160
-19,12,56.243
-21,-12,58.560
47,-27,60.192
13,67,62.669
95,-9,65.000
-22,21,67.230
45,12,68.249
-31,46,71.000
44,44,72.793
89,26,74.429
-17,-29,77.145
#,66,78.453
-44,19,80.490
60,49,82.511
55,27,85.493
94,6,86.569
-17,58,87.828
-32,2,89.122
-1,81,91.181
88,-35,93.243
-37,28,95.658
19,-36,98.646
-41,0,100.789
93,82,102.395
-28,39,103.615
-7,-29,106.000
-32,52,107.834
-35,-19,110.820
40,#,112.345
-21,5,114.231
78,-39,116.299
#,62,118.898
66,1,121.718
86,98,123.564
8,100,124.671
26,33,127.324
-16,53,129.781
0,-10,132.531
24,73,134.326
2,8,135.710
#,83,137.181
-28,61,139.885
-4,91,140.896
-35,26,143.644
100,-32,144.812
-8,#,147.486
9,39,148.721
#,78,151.570
22,64,153.000
67,#,155.824
75,-30,157.360
91,-20,159.849
86,8,162.082
-32,20,164.654
28,64,166.242
32,-50,167.820
-23,16,169.387
-7,-48,170.549
-38,94,172.241
33,2,174.860
62,-16,176.232
100,86,177.603
-5,-19,179.152
46,77,181.000
21,26,183.000
#,7,185.530
-31,#,187.398
30,7,189.564
2,-4,191.000
#,18,193.000
97,44,194.169
77,91,195.580
44,81,197.390
-11,21,198.731
98,68,200.352
-49,-38,201.410
15,44,203.658
40,#,206.000
#,44,208.639
34,-19,210.648
-12,89,212.943
-34,36,214.617
56,68,216.701
27,17,218.845
21,-16,220.469
2,52,222.732
-2,-29,225.273
77,76,227.000
13,#,228.663
#,99,230.314
20,25,232.439
-25,-15,234.894
96,94,235.913
46,#,238.093
#,-35,239.502
-8,79,242.000
80,64,243.374
52,#,244.407
-50,-36,247.194
-6,-1,249.300
39,13,250.425
98,-25,251.429
12,-50,252.498
76,100,255.183
#,-21,257.000
#,73,258.425
45,84,259.675
-43,-1,262.533
#,33,264.662
-5,53,265.883
62,45,268.298
73,-9,270.682
#,-1,273.308
29,-49,274.407
#,#,275.531
36,#,278.367
44,9,280.083
86,-32,281.250
24,42,282.448
6,59,285.276
43,86,286.834
88,-3,288.647
99,12,290.718
37,4,293.000
83,64,294.904
7,53,297.088
96,-38,298.749
86,-18,300.573
95,-10,302.552
23,-42,305.232
-47,84,307.635
53,-42,309.779
-44,68,312.689
-25,62,314.657
23,-21,315.939
37,-7,317.188
-39,-18,319.734
-45,97,321.000
85,#,323.931
#,29,325.765
-42,-42,327.759
-18,82,329.510
-27,-27,332.000
16,#,333.784
91,-31,336.169
-35,15,337.631
25,-8,339.267
-24,-29,342.235
17,-14,344.575
75,-40,345.949
8,75,348.434
#,-43,350.147
95,54,352.864
80,10,354.785
93,68,356.564
14,61,359.281
-48,-48,361.413
84,65,364.306
83,61,366.000
57,81,367.305
35,-23,369.263
16,11,371.469
-9,95,373.760
21,-35,376.336
-5,-35,378.138
38,78,379.631
#,61,381.453
43,-28,383.269
40,99,385.503
93,63,386.810
