a,b,time
0,23,0
8,30,1
95,33,3
17,27,4
#,32,7
78,85,8
34,5,11
50,#,14
30,84,16
72,34,18
20,33,21
36,4,23
74,15,25
77,62,28
82,60,31
6,35,33
65,53,36
37,9,39
98,63,40
84,52,42
63,2,44
56,10,47
100,97,48
#,9,50
51,55,53
16,73,54
81,#,56
16,88,59
61,58,62
89,92,65
15,91,67
100,82,70
26,31,72
85,11,73
5,98,74
12,#,75
39,76,76
22,81,77
1,95,78
#,31,79
50,92,80
32,#,81
42,41,82
61,91,85
7,62,86
60,1,89
53,66,90
92,#,93
13,66,95
74,82,97
35,76,99
#,63,101
13,32,102
6,95,105
73,#,106
33,92,108
26,69,110
86,#,111
74,#,113
#,46,116
7,6,119
41,43,122
34,5,123
96,87,126
35,5,129
48,95,131
2,67,132
#,50,133
48,85,136
94,51,139
43,8,142
100,83,143
62,44,144
36,97,147
98,12,148
#,4,149
72,#,150
6,81,152
86,67,155
71,28,158
84,92,159
18,32,162
88,42,164
41,51,166
2,21,168
52,57,169
44,67,170
25,45,172
25,#,173
#,17,176
71,#,179
55,33,182
1,35,185
97,86,186
#,56,188
14,22,191
64,0,192
82,97,195
93,55,196
13,78,199
#,41,202
75,77,204
61,6,207
28,41,210
75,29,211
76,26,213
64,50,216
#,55,218
70,70,220
75,29,221
89,14,223
73,40,225
44,38,226
23,#,228
25,54,231
50,35,232
43,77,233
#,1,234
50,9,237
64,69,239
38,#,241
3,10,244
43,39,247
64,16,248
89,21,249
92,#,250
81,38,252
100,45,255
#,22,257
50,73,258
#,100,259
63,86,260
84,41,262
3,48,263
21,97,264
78,65,267
35,12,270
76,42,273
98,37,275
6,29,278
63,3,281
89,43,282
26,60,284
1,33,286
92,#,287
10,96,289
85,91,291
25,28,293
64,45,294
96,77,295
47,87,298
67,#,300
1,75,302
72,12,304
#,15,307
94,98,308
45,#,310
#,89,311
#,91,313
65,28,316
64,98,317
75,2,318
35,9,320
28,63,321
69,83,324
0,37,326
36,34,327
45,27,328
33,19,330
58,85,332
63,63,333
37,0,336
54,3,337
74,37,340
14,77,343
58,40,345
5,60,346
2,47,347
78,60,349
73,29,350
#,34,352
11,62,353
32,41,356
2,70,359
22,20,361
62,18,363
77,22,365
42,43,367
#,#,369
8,49,370
69,43,371
27,5,374
84,30,377
57,92,379
93,19,382
11,76,383
44,43,386
50,#,388
90,#,389
83,87,391
