a,b,time
99,16,0
48,87,32.28
46,2,39.63
62,99,47.88
51,36,49.47
15,44,52.32
#,85,72.31
30,#,75.83
26,9,85.31
69,33,104.94
54,84,111.53
28,49,115.23
2,19,116.02
21,55,121.50
21,57,125.91
7,12,140.58
19,63,141.45
27,39,156.87
50,58,169.96
11,24,180.54
#,7,182.71
10,98,184.97
2,24,192.70
37,36,203.92
57,23,215.97
90,39,218.77
53,84,235.77
41,21,237.57
100,41,244.91
96,93,247.07
16,77,260.92
78,#,279.22
#,39,291.09
56,18,295.43
#,7,302.27
99,32,312.00
42,31,315.52
#,29,330.94
23,#,336.45
20,37,343.30
26,41,359.71
#,#,372.21
35,#,373.58
66,65,378.39
66,75,381.97
1,3,394.10
40,29,395.59
76,60,406.28
#,75,417.58
21,85,436.15
58,28,455.23
49,4,472.92
100,88,488.88
64,68,496.37
67,#,516.19
17,90,529.97
98,27,531.35
61,13,544.72
70,73,561.06
25,0,569.00
64,#,578.10
35,#,582.96
34,#,597.62
17,13,607.45
65,67,624.96
36,45,644.47
29,1,649.77
45,86,665.62
61,#,666.53
41,59,682.63
63,24,685.99
88,30,689.04
32,79,696.39
43,#,708.26
29,#,726.90
#,74,745.96
33,66,764.22
52,81,777.94
18,35,797.71
59,35,800.99
38,23,805.71
16,93,816.75
1,23,827.21
70,75,828.20
50,21,839.42
31,#,849.75
0,21,857.48
21,59,868.17
5,40,872.64
92,28,884.45
79,44,884.66
#,6,889.32
33,33,907.95
90,66,912.35
90,9,925.36
94,70,943.07
39,#,953.90
63,83,973.35
90,61,984.21
#,#,997.89
42,37,1006.86
3,83,1010.75
38,82,1017.55
98,40,1027.50
8,70,1032.03
43,35,1035.87
7,31,1041.88
37,96,1047.60
57,48,1050.64
75,#,1060.33
93,70,1069.69
61,53,1071.44
94,29,1090.78
2,#,1100.48
86,47,1106.99
49,80,1116.67
95,37,1133.55
18,49,1144.41
74,52,1154.66
7,57,1169.59
64,42,1181.65
60,95,1187.14
51,80,1202.05
52,89,1212.88
30,18,1224.77
#,55,1233.90
74,#,1248.08
46,36,1260.44
66,67,1278.04
94,22,1297.71
15,88,1315.47
6,83,1328.60
32,38,1343.24
62,55,1344.30
#,71,1354.93
50,#,1366.96
#,56,1385.24
18,76,1385.70
49,64,1390.21
71,86,1402.92
97,40,1413.15
39,68,1425.31
53,0,1431.07
4,7,1450.48
74,9,1456.30
76,5,1475.33
90,87,1487.89
#,62,1497.94
10,100,1506.65
78,91,1517.04
32,11,1520.34
81,23,1520.95
#,#,1529.31
59,25,1531.66
88,18,1534.87
44,9,1547.41
32,#,1548.06
30,88,1557.19
1,#,1573.20
66,95,1581.81
72,83,1588.68
1,79,1599.29
47,45,1600.29
39,9,1611.05
#,#,1625.66
60,77,1627.91
58,42,1636.79
38,60,1653.32
34,86,1665.48
67,73,1684.74
73,#,1687.16
#,9,1695.89
75,35,1711.07
57,74,1726.21
67,7,1737.87
85,64,1748.22
46,71,1761.02
16,91,1762.14
60,#,1768.59
1,42,1778.96
40,1,1791.31
98,73,1810.70
44,50,1829.88
#,11,1832.60
24,#,1846.76
5,44,1849.41
42,34,1859.73
36,5,1867.34
65,90,1877.01
70,65,1878.98
0,81,1885.53
19,16,1886.84
5,#,1889.02
55,95,1893.73
34,99,1911.36
81,62,1921.08
82,#,1937.16
#,98,1948.64
18,54,1958.45
100,58,1964.63
